ClubName,ClubAddress,club_id
"Bełchatów, Kościuszki",Kościuszki 12,0
"Bielsko-Biała, Nowe Miasto",Legionów 26/28,1
"Bolesławiec, Stary Dworzec",Hutnicza 7a,2
"Bytom, Szombierki",Karpacka 1a,3
"Ciechanów, CH Mrówka",Niechodzka 5,4
"Czechowice-Dziedzice, Kablownia",Legionów 83,5
"Czeladź, Grodziecka",Grodziecka 2b,6
"Częstochowa, Wrzosowiak",Jagiellońska 1,7
"Elbląg, Grottgera",Artura Grottgera 53,8
"Gdańsk, Oliwa",Aleja Grunwaldzka 309,9
"Gdańsk, Osowa",Spacerowa 65,10
"Gdynia, Dąbrowa",Rdestowa 160,11
"Głogów, Glogovia",Marszałka Józefa Piłsudskiego 19,12
"Głogów, Gwiaździsta",Gwiaździsta 1A,13
"Głogów, Multibox",Generała Władysława Sikorskiego 17,14
"Gubin, Hosso",Ułanów Karpackich 3,15
"Jastrzębie-Zdrój, Turystyczna",Turystyczna 5F I G,16
"Jelenia Góra, Pasaż Grodzki",Grodzka 7,17
"Jelenia Góra, Zabobrze",Sygietyńskiego 2,18
"Kalisz, Galeria Tęcza",3-Go Maja 1,19
"Katowice, Galeria Manhattan",Szewska 11,20
"Katowice, Korfantego",al. Wojciecha Korfantego 138,21
"Katowice, Wrocławska",Wrocławska 54,22
"Lębork, Osiedle Sportowe",Olimpijczyków 1,23
"Legionowo, Park",Jagiellońska 24,24
"Legnica, Galeria Ferio",Chojnowska 41,25
"Legnica, Marsa",Marsa 30,26
Łódź Ogrody Geyera,Piotrkowska 293/305,27
"Łódź, Brama Miasta",płk. Jana Kilińskiego 66,28
"Łódź, Chojny",Łokietka 2,29
"Łódź, Chojny 2",Natalii 2,30
"Łódź, Górna",Paderewskiego 11B,31
"Łódź, Imagine",al. Marszałka Józefa Piłsudskiego 85-87,32
"Łódź, Księży Młyn",Tymienieckiego 22/24,33
"Łódź, Teofilów",Plonowa 1/3,34
"Łódź, Widzew",Andrzeja Sacharowa 16,35
"Lubin, Cuprum Arena",Generała Władysława Sikorskiego 20,36
"Lubin, Indomo",Zwierzyckiego 3,37
"Lubin, Leszczynowa",Leszczynowa 27C,38
"Piaseczno, Puławska",Puławska 37,39
"Polkowice, Głogowska",Głogowska 19,40
"Poznań, Business Garden",Kolorowa 6,41
"Poznań, NIKU",Piątkowska 200,42
"Poznań, Pixel",Grunwaldzka 186,43
"Poznań, Półwiejska",Półwiejska 2,44
"Racibórz, Eichendorffa",Eichendorffa 12,45
"Rumia, Centrum Janowo",Dębogórska 132,46
"Siedlce, Starowiejska",Starowiejska 21,47
"Sosnowiec, Teatralna",Teatralna 11,48
"Starogard Gdański, Zblewska",Zblewska 10,49
"Sulejówek, Plac Czarnieckiego",plac Czarnieckiego 1,50
"Swarzędz, ETC",Poznańska 6,51
"Świdnica, Galeria Świdnica",Westerplatte 29,52
"Świebodzin, Hosso",Słowiańska 1,53
"Szczecin, Hanza",Wyzwolenia 46,54
"Szczecin, Słoneczne Centrum",Andrzeja Struga 18,55
"Wałbrzych, Piaskowa Góra",Długa 5A,56
"Warszawa, Browary Warszawskie",Grzybowska 56,57
"Warszawa, Gocław",gen. Augusta Emila Fieldorfa „Nila” 41,58
"Warszawa, Skorosze",Składkowskiego 4,59
"Warszawa, Ursynów",Puławska 423,60
"Warszawa, Złote Tarasy",Złota 59,61
"Wejherowo, Przemysłowa",Przemysłowa 1,62
"Wrocław, Biskupin",Wiwulskiego 12,63
"Wrocław, Ferio Gaj",Świeradowska 51/57,64
"Wrocław, Grabiszyn",Grabiszyńska 269,65
"Wrocław, Karłowice",Długosza 74,66
"Wrocław, Kleczków",Trzebnicka 33,67
"Wrocław, OVO",Podwale 83,68
"Wrocław, Tęczowa",Tęczowa 83x,69
"Żary, Zatorze",Serbska 4a,70
